gully,NDVI,Lithology,dist_fault,dist_road,dist_river,soil_textu,Landcover,TWI,TPI,SPI,Slope,Profile_Cu,Plan_Curva,Aspect,DEM,Rainfall
1,0.16067781028,3,9752.950,3380.680,540.477,4,2,6.038180,4.135140,-337.397000,28.176700,-0.000729,-0.003199,84.644200,718,438.1150
1,0.11689779404,2,13699.800,974.358,191.087,7,3,5.530710,-0.108108,1330.860000,19.370800,-0.000190,0.002223,95.440300,395,510.4520
1,0.10198207089,2,12847.000,382.175,540.477,7,3,6.665570,-6.054050,-500.604000,18.774700,0.001179,-0.004086,258.690000,388,502.0070
1,0.09301553658,2,13348.800,270.238,191.087,7,3,8.531460,-4.135140,-266608.000000,4.763640,-0.000418,0.025067,323.130000,372,490.9720
1,0.12146928354,2,13475.400,688.975,382.175,7,3,7.138350,-3.243240,-2547.370000,12.260100,0.000284,0.003715,147.529000,376,496.3640
1,0.10264785966,2,14222.900,540.477,0.000,7,3,6.433830,-11.297300,-108437.000000,26.767500,-0.007242,-0.006262,352.405000,401,481.7090
1,0.11733052944,2,14906.000,382.175,0.000,7,3,5.429020,-0.162162,4959.440000,20.001800,-0.004375,0.000749,105.945000,430,474.1310
1,0.11585662787,6,12296.600,2866.310,0.000,7,3,9.300950,0.621622,-227.007000,3.016960,0.000719,0.007379,108.435000,158,564.8330
1,0.13796769550,6,12504.200,4053.580,191.087,7,2,9.651900,-0.459459,-3022.680000,1.909150,0.001109,0.000000,270.000000,165,562.4190
1,0.14313099987,2,12701.200,3710.250,0.000,7,2,9.378150,-2.648650,-7952.670000,2.134300,-0.002328,0.017889,153.435000,172,559.0930
1,0.10381222281,2,13410.200,2972.620,191.087,7,3,6.262890,1.405410,-905.199000,12.260100,-0.000512,0.002526,265.601000,199,555.1760
1,0.11096337693,2,12296.600,1643.800,191.087,7,3,6.248200,-2.189190,-6566.310000,17.775300,-0.003510,0.002281,242.103000,209,549.5300
1,0.12496580314,2,10675.300,0.000,0.000,7,3,10.268000,0.027027,-4162.050000,1.909150,0.000000,0.000000,180.000000,202,544.5330
1,0.08285034970,2,8485.660,0.000,191.087,7,2,8.172760,-2.567570,-1103.300000,6.017280,-0.003115,-0.001581,288.435000,239,531.9050
1,0.31282321552,2,382.175,974.358,382.175,7,6,9.867060,-2.945950,144001.000000,1.350220,-0.001110,-0.047141,135.000000,192,617.0630
1,0.16436109477,2,382.175,688.975,270.238,7,1,9.183750,-1.324320,115067.000000,1.350220,0.000000,-0.047141,135.000000,221,613.5900
1,0.15368550928,2,787.874,191.087,191.087,4,4,6.765490,-2.405410,-15238.100000,36.760900,-0.000467,-0.015890,321.340000,304,611.2370
1,0.19067052027,2,1540.600,191.087,191.087,4,1,10.867000,0.540541,-2198.000000,2.134300,-0.000111,0.017889,296.565000,280,610.5820
1,0.15320421408,2,1632.650,191.087,191.087,4,1,9.440820,-0.945946,-1506.040000,3.016960,-0.000387,-0.013703,288.435000,315,594.3980
1,0.17361387672,2,2136.420,688.975,191.087,4,6,8.863470,-2.864860,-35067.300000,2.134300,0.000554,-0.029814,333.435000,311,589.3190
1,0.18446950762,1,1761.740,0.000,382.175,4,2,8.820790,-3.108110,-8866.920000,3.016960,-0.002324,-0.018974,251.565000,397,599.1280
1,0.18981938649,2,191.087,764.350,688.975,4,2,8.926880,-0.270270,4030.480000,0.954841,0.000555,-0.066667,360.000000,476,620.3940
1,0.17451332542,2,270.238,0.000,573.262,4,2,8.042910,0.567568,2077.290000,3.931100,-0.000487,0.015218,345.964000,496,626.1340
1,0.25905610096,2,191.087,540.477,540.477,4,6,7.948520,-5.729730,-567120.000000,4.763640,0.001693,-0.067200,323.130000,490,635.3670
1,0.16324747882,2,191.087,191.087,382.175,4,2,8.202310,3.621620,-2267.700000,5.550720,0.003577,-0.003026,149.036000,526,639.8690
1,0.34090321914,2,427.284,604.271,1208.540,4,6,6.327390,-5.243240,-1835.670000,24.805500,-0.002006,-0.002610,334.359000,492,646.4950
1,0.18192866861,2,270.238,191.087,1709.140,4,2,9.394380,-1.621620,10984.700000,0.954841,-0.001666,0.000000,270.000000,560,653.3680
1,0.32570212056,2,427.284,1029.040,1540.600,4,4,8.915500,-0.189189,16778.500000,0.954841,-0.000555,0.000000,360.000000,581,650.8970
1,0.15359607500,2,382.175,2301.000,191.087,7,6,7.335810,-3.216220,-10778.100000,8.735690,0.001016,-0.010464,310.601000,878,434.1670
1,0.25892195194,2,540.477,2417.090,0.000,7,6,9.270450,-6.594590,202069.000000,0.954841,-0.002777,-0.066667,360.000000,890,430.0920
1,0.22998930975,2,764.350,2661.540,191.087,7,6,7.322440,1.270270,3077.300000,6.721370,0.001230,0.008202,351.870000,930,427.0450
1,0.18380805692,2,854.569,2782.270,1029.040,7,2,8.173320,0.189189,-407112.000000,11.038500,0.000219,-0.009728,199.983000,1024,423.6000
1,0.14753248856,2,1114.220,3021.360,1528.700,7,2,7.046590,2.594590,200.013000,9.462320,0.000725,0.002133,306.870000,1085,419.5630
1,0.23194320160,2,854.569,2891.680,764.350,7,6,8.290940,-1.810810,8705.010000,13.640300,0.000539,0.002160,164.055000,1108,417.9220
1,0.11942630661,2,573.262,2491.470,1080.950,7,2,6.909480,-0.459459,23303.100000,10.759600,-0.000215,0.001192,15.255100,1166,416.9080
1,0.12591849451,2,764.350,2394.320,1575.750,7,2,6.335260,-2.108110,2902.050000,22.619900,-0.002989,0.007787,323.130000,1169,415.3930
1,0.13319384713,2,2840.720,191.087,0.000,7,1,9.144440,-0.729730,27660.200000,4.262690,-0.000220,0.002981,153.435000,821,442.3630
1,0.14188617926,2,2301.000,0.000,0.000,7,6,8.344330,0.729730,11959.400000,7.653050,0.000208,0.010813,330.255000,843,444.3970
1,0.14223736401,2,2161.910,787.874,191.087,4,3,8.580080,-4.783780,796.151000,9.462320,-0.001066,-0.006667,143.130000,763,450.9470
1,0.13801708053,2,955.437,955.437,1528.700,4,2,6.197190,6.027030,-2434.450000,5.128710,0.000965,0.020064,338.199000,1036,441.7840
1,0.10756735765,2,1632.650,0.000,573.262,7,3,6.252400,4.567570,-2060.440000,8.735690,0.001988,-0.002552,167.471000,546,460.1010
1,0.11219972007,7,2236.620,0.000,787.874,4,2,6.695860,2.243240,4388.670000,7.416540,-0.000577,0.008816,219.806000,555,466.4730
1,0.13890578507,2,4294.160,1114.220,688.975,7,2,8.350840,-5.405410,-41493.700000,8.478710,-0.001075,-0.007454,296.565000,821,430.3250
1,0.10524845996,2,9013.580,0.000,0.000,7,3,7.426720,-1.432430,-2476.730000,8.984880,0.000107,-0.007730,161.565000,283,522.5750
1,0.09670516700,2,8394.810,427.284,191.087,4,2,6.150870,0.405405,-1722.450000,15.288500,-0.000139,0.002599,322.431000,322,517.2480
1,0.10793964257,2,8377.390,427.284,0.000,4,1,8.335900,-5.783780,449.852000,9.462320,-0.003199,-0.013333,90.000000,311,515.3670
1,0.12223634053,2,8539.280,427.284,191.087,4,3,7.269370,4.216220,-940.460000,8.984880,0.002141,0.000000,198.435000,377,512.8420
1,0.12319771878,2,9645.660,540.477,191.087,7,3,6.324250,8.027030,-2342.450000,5.128710,-0.000776,0.039700,248.199000,411,510.9810
1,0.09311941587,2,9670.230,688.975,191.087,7,3,6.787910,17.567600,-426.611000,2.698950,0.012735,-0.011785,135.000000,400,507.9350
1,0.09832287838,2,9998.820,1114.220,270.238,4,3,5.519690,6.027030,9564.180000,17.083100,0.001473,0.005359,220.601000,426,505.3630
1,0.09690446265,2,10579.100,1761.740,191.087,7,3,7.835390,6.594590,140.551000,15.819200,0.006833,0.010177,61.927500,419,500.2890
1,0.08248006026,2,11030.200,1881.990,191.087,7,3,7.081020,-6.432430,7263.860000,19.310300,-0.003729,-0.009535,295.346000,396,495.6780
1,0.04820562474,2,11246.600,1812.810,191.087,7,3,7.410140,-3.081080,-802.422000,21.938000,-0.002430,-0.006235,294.444000,447,491.6390
1,0.08722494855,2,6828.530,1643.800,191.087,7,3,6.949030,-7.189190,-2518.700000,15.369500,-0.004043,0.000238,194.036000,419,501.0610
1,0.12008346862,2,6042.710,1881.990,191.087,4,6,5.946720,-0.324324,-13023.000000,17.571300,-0.001444,-0.003509,360.000000,482,501.2140
1,0.08835440768,2,4357.460,3710.250,2228.440,7,3,5.107040,7.891890,195.449000,15.845200,-0.001035,0.015841,220.236000,555,505.4830
1,0.15529701976,3,3783.340,4133.850,2840.720,7,3,4.452740,18.567600,1174.880000,29.031500,-0.000114,0.025330,131.348000,519,505.9620
1,0.18532293179,3,3444.880,3402.210,2178.730,7,3,5.310000,5.216220,59.388900,9.462320,-0.001450,0.035733,143.130000,559,503.5330
1,0.09541403150,2,3444.880,2570.820,1455.280,7,3,8.955290,-3.810810,-1835.780000,12.260100,-0.000393,0.001940,184.399000,544,501.2880
1,0.16589936416,2,7454.860,427.284,2136.420,4,6,4.896230,0.513514,1066.350000,35.022500,-0.002440,-0.004760,87.273700,679,493.4940
1,0.11751385961,2,7653.040,955.437,1761.740,4,3,5.686840,2.594590,-22698.400000,20.532800,0.002690,-0.013194,147.724000,699,491.1150
1,0.11868848392,2,8808.690,1761.740,604.271,4,6,5.563370,0.243243,3918.030000,22.862100,0.001347,0.001186,341.565000,639,488.4990
1,0.09501596890,2,13072.400,2661.540,3920.790,4,3,6.370690,-7.378380,2766.930000,16.228700,-0.007183,0.003066,156.371000,606,470.0040
1,0.09704229632,2,12838.500,2782.270,3783.340,4,6,8.717660,-12.945900,20789.600000,7.233840,-0.007257,0.023545,293.199000,572,471.2140
1,0.09939695254,2,12791.400,2735.960,3650.720,4,6,7.759090,-13.594600,33743.900000,7.416540,-0.010399,0.026447,320.194000,565,471.7400
1,0.10795467363,3,13729.100,1391.140,2301.000,4,3,6.667800,-6.756760,3339.890000,16.228700,0.000192,0.004981,166.759000,511,470.8180
1,0.09977590578,4,12351.400,854.569,1643.800,4,3,8.696500,-4.810810,100175.000000,7.653050,0.000591,-0.008651,187.125000,567,439.8120
1,0.09787029186,4,12351.400,854.569,1643.800,4,3,8.406890,-4.621620,80677.500000,7.653050,-0.000208,-0.002544,262.875000,567,439.5960
1,0.09727600111,3,14434.400,573.262,1492.440,4,3,6.512200,0.027027,-2593.290000,12.048300,-0.001141,0.000508,231.340000,479,469.2630
1,0.12574551718,3,14792.900,191.087,1114.220,4,3,7.262900,-1.243240,-1089980.000000,10.999200,-0.002442,0.001849,149.036000,459,468.6780
1,0.11559742178,3,14792.900,191.087,1114.220,4,3,7.600700,-0.405405,2402.090000,10.046800,-0.001084,0.009546,228.814000,454,468.7580
1,0.14532391048,3,14602.900,382.175,1223.560,4,3,8.694700,-9.000000,-28375.500000,2.698950,-0.001938,-0.053033,315.000000,446,469.1630
1,0.14883542309,3,11773.200,1351.190,1575.750,7,3,8.143100,-4.459460,13158.500000,10.759600,-0.000466,-0.009108,105.255000,671,440.7040
1,0.14125262762,4,13917.900,787.874,1351.190,4,3,5.529520,10.162200,827.501000,6.918170,-0.001590,0.072913,195.945000,636,455.9670
1,0.15360964755,3,11618.700,1492.440,1540.600,7,3,8.434420,-4.756760,5021.640000,9.870930,0.000892,-0.014939,73.300800,671,440.6440
1,0.15360964755,3,11618.700,1492.440,1540.600,7,3,8.434420,-4.756760,5021.640000,9.870930,0.000892,-0.014939,73.300800,671,440.6440
1,0.11699842580,3,11618.700,1492.440,1540.600,7,3,7.632170,-2.864860,54505.100000,14.036200,-0.000467,-0.009067,323.130000,675,440.4300
1,0.14492538570,3,11618.700,1492.440,1540.600,7,3,9.408640,0.054054,1445.610000,3.814070,0.000000,0.000000,90.000000,676,440.8950
1,0.12453114085,3,11618.700,1492.440,1540.600,7,3,7.441630,1.810810,-22124.600000,14.273600,-0.000033,0.006692,328.392000,682,440.6810
1,0.11803875388,3,11618.700,1492.440,1540.600,7,3,8.595390,-2.891890,-476066.000000,4.763640,-0.001957,0.003733,323.130000,677,440.9920
1,0.11472372838,4,13784.800,688.975,1223.560,4,3,5.275900,4.216220,-119.326000,25.072800,0.002381,0.002652,265.914000,604,456.7630
1,0.11393726707,3,11618.700,1492.440,1540.600,4,3,8.941700,-2.216220,46678.600000,3.931100,0.000617,-0.017120,14.036200,678,441.3400
1,0.07051184452,4,12842.700,427.284,427.284,4,1,6.156040,-6.486490,2497.990000,25.635100,-0.003559,-0.007245,249.677000,539,451.0380
